Date,Open,High,Low,Close
01-01-1996,908.01,913.11,913.11,906.15
02-01-1996,900.38,906.78,906.78,899.52
03-01-1996,895.96,901.66,904.48,895.48
04-01-1996,889.67,891.37,891.37,884.1
05-01-1996,884.73,887.79,887.79,881.74
08-01-1996,869.7,883.64,883.64,868.44
09-01-1996,869.12,864.84,870.71,856.77
10-01-1996,863.8,863.86,869.01,863.8
11-01-1996,873.27,862.62,873.72,861.97
12-01-1996,875.15,875.11,877.6,872.1
15-01-1996,871.32,878.74,878.74,870.98
16-01-1996,868.52,871.29,871.29,866.64
17-01-1996,857.11,866,866,857.11
18-01-1996,848.83,853.28,853.28,841.79
19-01-1996,843.99,846.66,847.17,840.18
22-01-1996,844.31,844.83,847.12,844.04
23-01-1996,832.9,846.05,846.05,830.83
24-01-1996,818.69,831.17,831.17,816
25-01-1996,814.92,819.56,819.56,814.34
29-01-1996,830.88,813.12,832.23,813.12
30-01-1996,846.57,836.14,848.13,836.14
31-01-1996,848.42,843.19,852.75,843.19
01-02-1996,869.54,848.28,869.54,848.28
02-02-1996,918.31,878.5,919.82,878.5
05-02-1996,943.08,933.14,949.16,927.65
06-02-1996,925.71,943.75,947.89,919.99
07-02-1996,932.02,918.97,932.02,913.22
08-02-1996,980.27,936.72,983.25,936.72
09-02-1996,1033.02,1001.85,1033.02,980.27
12-02-1996,1018.51,1032.47,1045.81,1018.51
13-02-1996,1027.36,1019.69,1030.3,1006.28
14-02-1996,1051.99,1040.91,1067.49,1040.91
15-02-1996,1046.24,1048.14,1053.19,1042.36
16-02-1996,1023.08,1040.84,1040.84,1020.46
19-02-1996,1021.38,1027.2,1028.26,1019.93
20-02-1996,1000.13,1021.08,1021.08,999.93
22-02-1996,1024.91,1006.84,1025.44,1006.84
23-02-1996,1028.84,1025.36,1029.64,1019.45
26-02-1996,1034.73,1035.02,1045.15,1034.52
27-02-1996,1027.45,1034.28,1034.28,1024.65
28-02-1996,1027.39,1034.49,1037.53,1027.39
29-02-1996,992.51,1024.14,1024.14,992.48
01-03-1996,999.47,994.66,1002.19,989.78
04-03-1996,998.84,1000.58,1002.41,996.51
06-03-1996,1002.91,999.67,1003.72,997.86
07-03-1996,998.45,1005.06,1010.5,998.45
08-03-1996,988.62,993.93,993.93,981.6
11-03-1996,975.26,981.16,981.16,966.28
